version,pred_distribution,true_distribution,accuracy,auc,memory [MB],runtime [s]
plaintext,0.4957500000,0.4985000000,0.9907500000,0.9907416667,369.0000000000,0.0104339123
palisade,0.4957500000,0.4985000000,0.9907500000,0.9907416667,1060.0000000000,6.2176239491
seal,0.4957500000,0.4985000000,0.9907500000,0.9907416667,3820.0000000000,19.0389838219
standard,0.4957500000,0.4985000000,0.9907500000,0.9907416667,348.0000000000,0.0019907951
sklearn,0.4972500000,0.4985000000,0.9907500000,0.9907461667,349.0000000000,0.0092616081
