version,init [s],encrypt_training [s],train [s],encrypt_inference [s],predict [s],decrypt [s]
plaintext,0.0001051426,0.0011429787,0.0087807178,0.0002143383,0.0001344681,0.0000562668
palisade,0.7983076572,0.1982102394,5.1280167103,0.0423882008,0.0362479687,0.0144531727
seal,7.7380354404,0.3034644127,10.9100186825,0.0634777546,0.0230035782,0.0009839535
