,serialize_inference_request [s],deserialize_inference_request [s],serialize_inference_response [s],deserialize_inference_response [s]
plaintext,0.0000758171,0.0000591278,0.0000722408,0.0000596046
seal,0.0349397659,0.0144340992,0.0049622059,0.0019242764
