version,init [s],encrypt_training [s],train [s],encrypt_inference [s],predict [s],decrypt [s]
plaintext,0.0001277924,0.0003769398,0.0020518303,0.0001120567,0.0000886917,0.0000536442
palisade,2.4012165070,0.0611469746,4.0086944103,0.0620667934,0.0397820473,0.0114197731
seal,7.6654291153,0.0311067104,1.6078722477,0.0315899849,0.0115060806,0.0005512238
